22020-04-29 18:04:231 INFO  BrowserSelector :21 - Launching chrome browser
2020-04-29 18:04:934 INFO  FlightPage :46 - Clicking on Flight Button [[ChromeDriver: chrome on WINDOWS (37c41d70c5549f49f237565ec07bc240)] -> xpath: //a[@id='primary-header-flight']]
2020-04-29 18:04:165 INFO  FlightPage :40 - Getting Verification Text [[ChromeDriver: chrome on WINDOWS (37c41d70c5549f49f237565ec07bc240)] -> xpath: //h1[contains(@class,'wizard-tabs launch-page-title')]]
2020-04-29 18:04:573 INFO  BrowserSelector :21 - Launching chrome browser
2020-04-29 18:04:284 INFO  HomePage :25 - Clicking on accept button [[ChromeDriver: chrome on WINDOWS (912080f561461f7be0d8c24beec2469e)] -> xpath: //span[@class='button-text']]
2020-04-29 18:04:694 INFO  HomePage :37 - Clicking on flight button [[ChromeDriver: chrome on WINDOWS (912080f561461f7be0d8c24beec2469e)] -> xpath: //button[@id='tab-flight-tab-hp']//span[@class='uitk-icon uitk-icon-flights']]
2020-04-29 18:04:475 INFO  FlightPage :53 - Flying from London flying field [[ChromeDriver: chrome on WINDOWS (912080f561461f7be0d8c24beec2469e)] -> xpath: //input[@id='flight-origin-hp-flight']]
2020-04-29 18:04:69 INFO  FlightPage :59 - Going to Mumbaigoing field [[ChromeDriver: chrome on WINDOWS (912080f561461f7be0d8c24beec2469e)] -> xpath: //input[@id='flight-destination-hp-flight']]
2020-04-29 18:04:676 INFO  FlightPage :65 - Departing Date 20/12/2020Date field[[ChromeDriver: chrome on WINDOWS (912080f561461f7be0d8c24beec2469e)] -> xpath: //input[@id='flight-departing-hp-flight']]
2020-04-29 18:04:308 INFO  FlightPage :73 - Returning Date10/02/2021Return date field[[ChromeDriver: chrome on WINDOWS (912080f561461f7be0d8c24beec2469e)] -> xpath: //input[@id='flight-returning-hp-flight']]
2020-04-29 18:04:565 INFO  FlightPage :79 - Clicking on Travellers button[[ChromeDriver: chrome on WINDOWS (912080f561461f7be0d8c24beec2469e)] -> xpath: //div[@class='menu-bar gcw-travel-selector-wrapper']//button[@class='trigger-utility menu-trigger btn-utility btn-secondary dropdown-toggle theme-standard pin-left menu-arrow gcw-component gcw-traveler-amount-select gcw-component-initialized']]
2020-04-29 18:04:789 INFO  FlightPage :85 - Clicking on adult [[ChromeDriver: chrome on WINDOWS (912080f561461f7be0d8c24beec2469e)] -> xpath: //body[contains(@class,'')]/meso-native-marquee/section[@id='WizardHero']/div[@id='hero-banner']/div[contains(@class,'hero-banner-gradient native-marquee')]/div[contains(@class,'cols-row hero-banner-inner')]/section[@id='wizardSection']/div[contains(@class,'hero-banner-box siteId-3 cf hideClassicDcol')]/div[@id='wizard-tabs']/div[contains(@class,'tabs-container col')]/section[@id='section-flight-tab-hp']/form[@id='gcw-flights-form-hp-flight']/fieldset[contains(@class,'room-data')]/div[contains(@class,'cols-nested')]/div[contains(@class,'ab25184-traveler-wrapper-flight available-for-flights gcw-clear-both')]/div[@id='traveler-selector-hp-flight']/div[contains(@class,'menu-bar gcw-travel-selector-wrapper')]/ul[contains(@class,'menu-bar-inner')]/li[contains(@class,'open')]/div[contains(@class,'menu sticky gcw-menu')]/div[contains(@class,'menu-main')]/div[contains(@class,'traveler-selector-sinlge-room-data traveler-selector-room-data')]/div[contains(@class,'uitk-grid step-input-outside gcw-component gcw-component-step-input gcw-step-input gcw-component-initialized')]/div[contains(@class,'uitk-col all-col-shrink')]/button[contains(@class,'uitk-step-input-button uitk-step-input-plus')]/span[1]//*[local-name()='svg']]
2020-04-29 18:04:965 INFO  FlightPage :91 - Clicking on close button Proxy element for: DefaultElementLocator 'By.xpath: //li[contains(@class,'open')]//button[contains(@class,'close btn-text')]'
2020-04-29 18:04:780 INFO  FlightPage :97 - Clicking on search button Proxy element for: DefaultElementLocator 'By.xpath: //form[@id='gcw-flights-form-hp-flight']//button[contains(@class,'btn-primary btn-action gcw-submit')]'
2020-04-29 18:04:44 INFO  FlightPage :102 - Getting Destination message [[ChromeDriver: chrome on WINDOWS (912080f561461f7be0d8c24beec2469e)] -> xpath: //span[@class='title-city-text']]
2020-04-29 18:04:14 INFO  BrowserSelector :21 - Launching chrome browser
2020-04-29 18:04:760 INFO  HomePage :25 - Clicking on accept button [[ChromeDriver: chrome on WINDOWS (ee839520659b40ab9c37f2ff26ce6e04)] -> xpath: //span[@class='button-text']]
2020-04-29 18:04:104 INFO  HomePage :37 - Clicking on flight button [[ChromeDriver: chrome on WINDOWS (ee839520659b40ab9c37f2ff26ce6e04)] -> xpath: //button[@id='tab-flight-tab-hp']//span[@class='uitk-icon uitk-icon-flights']]
2020-04-29 18:04:738 INFO  FlightPage :53 - Flying from Birmingham flying field [[ChromeDriver: chrome on WINDOWS (ee839520659b40ab9c37f2ff26ce6e04)] -> xpath: //input[@id='flight-origin-hp-flight']]
2020-04-29 18:04:251 INFO  FlightPage :59 - Going to Mumbaigoing field [[ChromeDriver: chrome on WINDOWS (ee839520659b40ab9c37f2ff26ce6e04)] -> xpath: //input[@id='flight-destination-hp-flight']]
2020-04-29 18:04:764 INFO  FlightPage :65 - Departing Date 10/12/2020Date field[[ChromeDriver: chrome on WINDOWS (ee839520659b40ab9c37f2ff26ce6e04)] -> xpath: //input[@id='flight-departing-hp-flight']]
2020-04-29 18:04:355 INFO  FlightPage :73 - Returning Date10/01/2021Return date field[[ChromeDriver: chrome on WINDOWS (ee839520659b40ab9c37f2ff26ce6e04)] -> xpath: //input[@id='flight-returning-hp-flight']]
